Venue,Rank
ACM Special Interest Group on Management of Data Conference|SIGMOD,A*
ACM/SIAM Symposium on Discrete Algorithms|SODA,A*
ACM SIGOPS Symposium on Operating Systems Principles|SOSP,A*
IEEE Symposium on Security and Privacy|SP,A*
ACM Symposium on Theory of Computing|STOC,A*
ACM Symposium on User Interface Software and Technology|UIST,A*
Usenix Security Symposium|USENIX-Security,A*
International Conference on Very Large Databases|VLDB,A*
IEEE Conference on Virtual Reality and 3D User Interfaces|VR,A*
International World Wide Web Conference|WWW,A*
Medical Image Computing and Computer-Assisted Intervention|MICCAI,A
ACM/IFIP/USENIX International Middleware Conference|Middleware,A
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services|Mobisys",A
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)|MODELS",A
IEEE International Working Conference on Mining Software Repositories|MSR,A
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems|MSWIM",A
North American Association for Computational Linguistics|NAACL,A
ACM Conference on Object Oriented Programming Systems Languages and Applications|OOPSLA,A
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies)|PETS,A
Parallel Problem Solving from Nature|PPSN,A
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)|RAID",A
IEEE International Requirements Engineering Conference|RE,A
ACM International Conference on Recommender Systems|RecSys,A
IEEE Real-Time and Embedded Technology and Applications Symposium|RTAS,A
"IEEE International Conference on Software Analysis, Evolution and Reengineering|SANER",A
International Conference on Theory and Applications of Satisfiability Testing|SAT,A
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)|SC",A
SIAM International Conference on Data Mining|SDM,A
International Symposium on Software Engineering for Adaptive and Self-Managing Systems|SEAMS,A
ACM Special Interest Group on Computer Science Education Conference|SIGCSE,A
ACM International Conference on Advances in Geographic Information Systems|SIGSPATIAL,A
Tools and Algorithms for Construction and Analysis of Systems|TACAS,A
Conference in Uncertainty in Artificial Intelligence|UAI,A
Usenix Annual Technical Conference|USENIX,A
IEEE Workshop on Applications of Computer Vision|WACV,A
ACM International Conference on Web Search and Data Mining|WSDM,A
USENIX Workshop on Hot Topics in Operating Systems|HotOS,A
ACM International Symposium on High Performance Distributed Computing|HPDC,A
IEEE International Conference on Document Analysis and Recognition|ICDAR,A
International Conference on Distributed Computing Systems|ICDCS,A
International Conference on Database Theory|ICDT,A
International Computing Education Research Workshop|ICER,A
International Conference on Functional Programming|ICFP,A
IEEE International Conference on Multimedia and Expo|ICME,A
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)|ICPC",A
ACM International Conference on Supercomputing|ICS,A
International Conference on Software Architecture (was previously WICSA)|ICSA,A
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)|ICSME",A
International Conference on Service Oriented Computing|ICSOC,A
"International Conference on Software Testing, Verification and Validation|ICST",A
International Conference on Web and Social Media|ICWSM,A
International Joint Conference on Automated Reasoning|IJCAR,A
Internet Measurement Conference|IMC,A
Interspeech (combined EuroSpeech and ICSLP in 2000)|Interspeech,A
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP)|IPDPS,A
IEEE/RSJ International Conference on Intelligent Robots and Systems|IROS,A
International Symposium on Software Reliability Engineering|ISSRE,A
International Symposium on Software Testing and Analysis|ISSTA,A
International Semantic Web Conference|ISWC,A
International Conference on Intelligent User Interfaces|IUI,A
International Conference on Learning Analytics and Knowledge|LAK,A
"Asia Conference on Information, Computer and Communications Security|AsiaCCS",A
International Conference on the Theory and Application of Cryptology and Information Security|ASIACRYPT,A
International ACM SIGACCESS Conference on Computers and Accessibility|ASSETS,A
British Machine Vision Conference|BMVC,A
International Conference in Business Process Management|BPM,A
International Conference on Automated Deduction|CADE,A
International Conference on Advanced Information Systems Engineering|CaiSE,A
International Symposium on Code Generation and Optimization|CGO,A
Workshop on Cryptographic Hardware and Embedded Systems|CHES,A
Conference on Innovative Data Systems Research|CIDR,A
ACM International Conference on Information and Knowledge Management|CIKM,A
ACM International Conference on Emerging Networking Experiments and Technologies|CoNEXT,A
International Conference on Principles and Practice of Constraint Programming|CP,A
ACM Conference on Computer Supported Cooperative Work|CSCW,A
Designing Interactive Systems|DIS,A
International Symposium on Distributed Computing (was WDAG)|DISC,A
European Association for Computational Linguistics|EACL,A
International Conference on Evaluation and Assessment in Software Engineering|EASE,A
European Conference on Artificial Intelligence|ECAI,A
European Conference on Information Retrieval|ECIR,A
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008)|ECML PKDD,A
European Conference on Object-Oriented Programming|ECOOP,A
International Conference on Conceptual Modelling|ER,A
International Symposium on Empirical Software Engineering and Measurement|ESEM,A
European Symposium on Programming|ESOP,A
European Symposium On Research In Computer Security|ESORICS,A
IEEE European Symposium on Security and Privacy|EuroS&P,A
Conference on File and Storage Technologies|FAST,A
Financial Cryptography and Data Security Conference|FC,A
Foundations of Genetic Algorithms|FOGA,A
Genetic and Evolutionary Computations|GECCO,A
ACM Creativity and Cognition|CC,A
ACM SIGCOMM Internet Measurement Conference|ACM IMC,A
American Association of Cost Engineers Annual Meeting|AACE,A
"American Society for Heating, Refrigeration and Air Conditioning|ASHRAE",A
American Society of Mechanical Engineering,A
Annual Conference of the Australian Acoustical Society,A
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,A
"Annual Water Distribution Systems Analysis Conference, WDSA 2008",A
ASCCS International Conference on Steel-Concrete Composite and Hybrid Structures,A
Asian Congress of Fluid Mechanics,A
Asian-Pacific Conference on Computational Mechanics|APCOM,A
Asian-Pacific conferences on unsaturated soils|Unsat-Asian,A
Asia-Pacific Conference on Engineering Plasticity and Its Applications,A
Asia-Pacific Conference on Materials Processing,A
Association for Computer Aided Design in Architecture (ACADIA) Conference|ACADIA,A
Association of Researchers in Construction Management Annual Conference|ARCOM,A
AUSIMM Orebody Modelling and Strategic Mine Planning Conference,A
AUSIMM Project Evaluation,A
Australasian Coasts and Ports Conference,A
Australasian Congress on Applied Mechanics,A
Australasian Fluid Mechanics Conference,A
Australasian Housing Researchers Conference|AHRC,A
Australasian Port and Harbour Conference,A
Australasian Transport Research Forum|ATRF,A
Bluff Body Aerodynamics and Applications,A
CAADFutures Biennial conference|CAADFutures,A
Centre for Asian and Middle Eastern Architecture conference|CAMEA,A
CIRP Life Cycle Engineering Conference,A
"Composite Construction V, Kruger National Park, South Africa, American Society of Civil Engineers",A
Computer Applications in The Mineral Industries|APCOM,A
Computers in Cardiology,A
Conference and Symposium of the International Committee on Aeronautical Fatigue,A
Conference on Railway Engineering,A
Congress of the Modelling and Simulation Society of Australia and New Zealand|Modsim 03,A
Construction Management and Economics Conference|CME 25,A
Contact Mechanics,A
Corrosion and Prevention,A
Design and Emotion Society Conferences|D&E,A
Design Computing and Cognition|DCC,A
European Conference on Computational Mechanics|ECCM,A
European Conference on Numerical Methods in Geotechnical Engineering|NUMGE,A
European Turbulence Conference,A
"Experiential Knowledge SIG conferences (Design Research Society (DRS) SIG,UK)",A
FIE Frontiers in Education,A
Geo congress of the Geo-Institute of ASCE,A
GeoShanghai International Conferences|GeoShanghai,A
Healthy Buildings|HB,A
Hong Kong Institute of Value Management Conference|HKIVM,A
IASTED International Conference on Biomedical Engineering,A
IASTED Telehealth and Assistive Technology,A
IEEE Conference in Industrial Electronics and Applications,A
"IEEE Conference on Robotics, Automation and Mechatronics",A
IEEE EMBS Neural Engineering Conference,A
IEEE International Conference on Robots and Automation,A
IEEE International Symposium on Biomedical Imaging,A
IEEE Symposium on VLSI Circuits|VLSIC,A
IEEE World Congress on Computational Intelligence|WCCI,A
Indoor Air|IA,A
"International Conference for Bulk Materials Storage, Handling and Transportation",A
International Conference of the International Association for Computer Methods and Advances in Geomechanics|IACMAG,A
International Conference on Advances and Trends in Engineering Materials and Their Applications,A
International Conference on Advances in Materials and Processing Technologies,A
International Conference On Agile Manufacturing,A
"International Conference on Civil, Structural and Environmental Engineering Computing|CIVIL-COMP",A
International Conference on Coastal Engineering,A
International Conference on Composite Materials,A
International Conference on Computational Plasticity|COMPLAS,A
International Conference on Computers in Urban Planning and Urban Management|CUPUM,A
International Conference on Design Theory and Methodology (ASME)|DTM,A
International Conference on Enhancement and Promotion of Computational Methods in Engineering and Science,A
International Conference on Environmental Systems|ICES,A
International conference on ER fluids and MR suspensions,A
International Conference on Fast Sea Transportation,A
International Conference on High Performance Yacht Design,A
"International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings|IAQVEC",A
International Conference on Leading Edge Manufacturing in 21st Century,A
International Conference on Liquid Atomization and Spray Systems,A
International Conference on Metal Forming,A
International Conference on Modal Analysis,A
International Joint Conference on Qualitative and Quantitative Practical Reasoning|ESQARU,A
European Graphics Conference|EUROGRAPH,A
International Conference on Foundation on Data Organization|FODO,A
International Conference on Field and Service Robotics|FSR,A
IEEE/ACM International Conference on Grid Computing|GRID,A
Hawaii International Conference on System Sciences|HICSS,A
ACM Conference on Hypertext and Social Media|Hypertext,A
International Conference of Asian Digital Libraries|ICADL,A
IEEE International Conference on Computer Languages|ICCL,A
International Computer Symposium Conference|ICSC2,A
International Conference on Security in Pervasive Computing|ICSPC,A
International Conference on Temporal Logic|ICTL,A
IEEE International Conference on Multimedia Computing and Systems|ICMCS,A
IEEE Transactions on Knowledge and Data Engineering|IEEETKDE,A
International Logic Programming Symposium|ILPS,A
International Conference on Information Systems Development|ISD,A
International Symposium on Robotics|ISR,A
IEEE International Solid-State Circuits Conference|ISSCC,A
International Conference on AI in Design|AID,A
Artificial Intelligence in Medicine|AIIM,A
Americas Conference on Information Systems|AMCIS,A
Aspect-Oriented Software Development|AOSD,A
Application of Computers and Operations Research in the Minerals Industries|APCOMin,A
"International Conference on Application-specific Systems, Architectures and Processors|ASAP",A
IEEE Conference on Decision and Control|CDC,A
IEEE Computational Systems Bioinformatics Conference|CSB,A
International Conference on Design Science Research in Information Systems and Technology|DESRIST,A
Deductive and Object-Oriented Databases|DOOD,A
Engineering Applications of Artifical Intelligence|EAAI,A
European Conference on Information Systems|ECIS,A
Unix Symposium on Internet Technologies|USITS,A
International Workshop on Randomization and Computation|RANDOM,A
IEEE Conference on Computational Complexity|CCC,A
IEEE Computer Security Foundations Symposium (was CSFW)|CSF,A
IEEE/ACM International Symposium on Low Power Electronics and Design|ISLPED,A
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)|AAMAS",A
IEEE International Conference on Web Services|ICWS,A
Intelligent Systems in Molecular Biology|ISMB,A
ACM Multimedia Systems Conference|MMSys,A
IEEE/IFIP International Conference on Dependable Systems and Networks|DSN,A
"Design, Automation and Test in Europe Conference|DATE",A
Real Time Systems Symposium|RTSS,A
IEEE International Test Conference|ITC,A
IEEE/ACM International Conference on Computer-Aided Design|ICCAD,A
European Symposium on Algorithms|ESA,A
International Symposium on Theoretical Aspects of Computer Science|STACS,A
Graph Drawing|GD,A
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation|APPROX/RANDOM,A
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)|UMAP",A
ACM Int'l Symposium on Field Programmable Gate Arrays|FPGA,A
IEEE Visualization|IEEE VIS,A
Eurosys Conference|EuroSys,A
Symposium On Usable Privacy and Security|SOUPS,A
Workshop on Algorithm Engineering and Experiments|ALENEX,A
Innovations in Theoretical Computer Science|ITCS,A
Annual Computer Security Applications Conference|ACSAC,A
International Conference on Artificial Intelligence in Education|AIED,A
International Conference on Artificial Intelligence and Statistics|AISTATS,A
International Conference on Modelling and Diagnostics For Advanced Engine Systems,A
International Conference on New Forming Technology,A
International Conference on Numerical Methods in Industrial Forming Processes,A
"International Conference on Ocean, Offshore and Arctic Engineering",A
International Conference on Pressure Surges,A
International Conference on Soil Mechanics and Geotechnical Engineering|ICSMGE,A
International Conference on Steel Rolling,A
International Conference on Structural Health Monitoring of Intelligent Infrastructure,A
International Conference on Surface Finishing Technology and Surface Engineering|ICSFT2008,A
International Conference on Sustainability in Energy and Buildings|SEB,A
International Conference on Technology of Plasticity,A
International conference on unsaturated soils|Unsat,A
International Conference on Urban Drainage,A
International Conference on Wind Engineering,A
International Conferences on Advances in Steel Structures,A
International Conferences on Progress of Machining Technology,A
International Congress of Theoretical and Applied Mechanics,A
International Congress on Fracture,A
International Corrosion Congress,A
"International Council for Research and Innovation in Building and Construction (CIB) Meetings, Workshops, Symposia, Conferences|CIB",A
International Fatigue Congress,A
International Ferroalloy Congress,A
International Geostatistics Congress,A
International Group for Lean Construction Conference|IGLC,A
International Heavy Haul Association Conference,A
International Heavy Haul Conference,A
International Mineral Processing Congress,A
International Pipeline Conference,A
International Research Council on the Biomechanics of Impact,A
International Society of Rock Mechanics Series of Symposia and Conferences|ISRM,A
International Symposium of Automation and Robotics in Construction,A
International Symposium on Active Control of Sound and Vibration,A
International Symposium on Advanced Technology for Plasticity,A
International Symposium on Advances in Abrasive Technology,A
International Symposium on Combustion,A
International Symposium on Computational Geomechanics,A
International Symposium on Plasticity and Its Current Applications,A
International Symposium on Vehicle System Dynamics,A
International Towing Tank Conference,A
International Tribology Conference in Australia,A
International Workshop on Precipitation in Urban Areas,A
IUTAM Symposia series,A
IWA World Water Congress,A
JSME/ASME International Conference on Materials and Processing,A
"Mini-EURO Conference, Managing Uncertainty in Decision Support Models",A
Modelling and Simulation,A
NACE International - Corrosion,A
Network for Comfort and Energy Use in Buildings Windsor Conference|Windsor,A
Numerical Models in Geomechanics|NUMOG,A
Pacific Rim Real Estate Conference|PPRES,A
Passive and Low Energy Architecture (PLEA) Annual International Conference|PLEA,A
Portland International Center for Management of Engineering and Technology Conference|PICMET,A
Powders and Grains,A
Proceedings MIT Conferences on Computational Solid and Fluid Mechanics,A
Research in Engineering Education Symposium|REES,A
RICS conference|COBRA,A
Sixth International Conference on Hydroinformatics 2004,A
"Society of Architectural Historians, Australia and New Zealand (SAHANZ) Annual Conference|SAHANZ",A
SPIE Smart Structures and Materials and Non-destructive Evaluation and Health Monitoring,A
Stapp Car Crash Conference,A
State of Australian Cities (SOAC) Conference|SOAC,A
Symposium on ‘Building Simulation in the Southwest of England’|IBPSA,A
Symposium on High Performance Chips|HOT CHIPS,A
The World Conference on Titanium,A
Transportation Research Board (USA) Annual Meeting|TRB,A
Turbulence and Shear Flow Phenomena,A
Water Down Under 2008 (incorporating the 31st Hydrology and Water Resources Symposium and the 4th International Conference on Water Resources and Environment Research),A
World Conference on Transport Research|WCTR,A
World Congress on Computational Mechanics|WCCM,A
Annual conference of American Society for Information Science and Technology|ASIS&T,A
IEEE Computer Security Foundations Workshop|CSFW,A
International Conference on Multi Agent Systems|ICMAS,A
Israel Symposium on Theory of Computing and Systems|ISTCS,A
Text Retrieval Conference|TREC,A
Annual Conference of the International Speech Communication Association (was Eurospeech)|Interspeech,A
European Conference on Machine Learning (Joined with PKDD from 2008)|ECML,A
ACM International Conference on Systems for Energy-Efficient Built Environments|BuildSys,A
American Federation of Information Processing Societies|AFIPS,A
Symposium on Frontiers of Massively Parallel Processing|MassPar,A
"Net Object Days (Includings MATES, ENASE etc.)|MATES ENASE",A
ACM/SPIE Multimedia Computing and Networking|MMCN,A
Network Storage Symposium|NetStore,A
AoM Organizational Communication and Information Systems|OCIS,A
IEEE Conference on Open Architecture and Network Programming|OPENARCH,A
Pacific Asia Conference on Information Systems|PACIS,A
Performance Tools - International Conference on Model Techniques & Tools for CPE|PT,A
International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction)|RTA,A
Unix Symposium on Operating Systems Design and Implementation|SDSDI,A
IEEE International Symposium on Software Metrics|SMS,A
ACM Symposium on Software Reusability|SSR,A
Symposia on VLSI Technology and Circuits|VLSI,A
Australian MADYMO Users Meeting|MADYMO,Australasian
Australian MATLAB Conference|MATLAB,Australasian
"Australian Workshop on Mobile Computing, Databases and Applications|MCDA",Australasian
Australian Conference on Mathematics and Computers in Sport|MCSpo,Australasian
Open and Distance Learning Association of Australia Bienniel Forum|ODLA,Australasian
Australian Women in IT Conference|OzWIT,Australasian
Australian Workshop on Safety Critical Systems and Software|SCSS,Australasian
University of Western Australia Computer Science Research Conference|UWACS,Australasian
Australian Information Warfare and Security Conference|WarSec,Australasian
Western Australian Workshop on Information Systems Research|WAWISR,Australasian
Australasian Women in Computing Workshop|WIC,Australasian
Australasian Workshop on Health Data and Knowledge Management|HDKM,Australasian
Integrated Data Environments Australia Workshop|IDEAW,Australasian
Australasian Conference on Pattern Languages of Programs|KoalaPLoP,Australasian
Australian Pattern Recognition Society Conference|DICTA,Australasian
International NZ Conference on Computer-Human Interaction|SIGCHI-NZ,Australasian
Australian Digital Forensics Conference,Australasian
Australian Information Security Management Conference|ISM,Australasian
Australasian Computer Architecture Conference|ACAC,Australasian
Australasian Computers in Education Conference|ACEC,Australasian
Australasian Conference on Information Systems|ACIS,Australasian
Australian Conference for Knowledge Management and Intelligent Decision Support|ACKMIDS,Australasian
Australasian Computer Music Conference|ACMA,Australasian
Australian Conference on Neural Networks|ACNN,Australasian
Australian Conference on Software Metrics|ACOSM,Australasian
Australian Supercomputing Conference|ACS,Australasian
Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference)|ACSAC,Australasian
Australasian Computer Science Conference|ACSC,Australasian
Accounting and Finance Association of Australia and New Zealand Conference|AFAANZ,Australasian
Australian Game Developers Conference|AGDC,Australasian
Australian Institute of Computer Ethics Conference|AICEC,Australasian
Australasia Conference on Information Security and Privacy|AISP,Australasian
"Workshop on Australasian Information Security, Data Mining and Web Intelligence, and Software Internationalisation|AISW",Australasian
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies)|AISW-PET,Australasian
Australian Knowledge Acquisition Workshop|AKAW,Australasian
Australian and New Zealand Academy of Management Conference|ANZAM,Australasian
Australian and New Zealand Intelligent Information Systems Conference|ANZIIS,Australasian
Australian and New Zealand Marketing Academy Conference|ANZMAC,Australasian
The Modelling and Simulation Society of Australia and New Zealand Meeting|ANZMODS,Australasian
Australasian Conference on Parallel and Real-Time Systems|APRTS,Australasian
National Conference of the Australian Robot Association|ARA,Australasian
Australasian Remote Sensing Conference|ARSC,Australasian
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education|ASCILITE,Australasian
Australian Symposium on Information Visualisation|ASIV,Australasian
Australasian Cognitive Science Society Conference|AuCSS,Australasian
Australasian User Interface Conference|AUIC,Australasian
Australasian Urban and Regional Information Systems Association Conference|AURISA,Australasian
Australasian Refinement Workshop|AuRW,Australasian
Australian Joint Conference on Artificial Intelligence|AusAI,Australasian
Australasian Symposium on Grid Computing and e-Research (now AusPDC)|AusGrid,Australasian
Australian World Wide Web Conference|AusWeb,Australasian
Australian Women in IT Conference|AusWIT,Australasian
Australian UNIX Users Group National Conference|AUUG,Australasian
Australasian Workshop on Combinatorial Algorithms|AWOCA,Australasian
Australian Workshop on Requirements Engineering|AWRE,Australasian
Australian Workshop on Software Architecture|AWSA,Australasian
Computing: The Australasian Theory Symposium|CATS,Australasian
ACM SIGCHI_NZ Conference on Human-Computer Interaction|SIGCHI-NZ,Australasian
Australasian Compumod Users' Conference|COMPUMOD,Australasian
Joint DICTA & IVCNZ|DICTA/IVCNZ,Australasian
Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing|DIVC,Australasian
Australian Conference on Artificial Life and Computational Intelligence|ACALCI,Australasian B
Australian Software Engineering Conference|ASWEC,Australasian B
Australian Computer Human Interaction Conference|OZCHI,Australasian B
Australasian Computing Education Conference (ACE)|ACE,Australasian B
Australasian Conference on Information Security and Privacy|ACISP,Australasian B
Australasian Database Conference|ADC,Australasian B
Australasian Document Computing Symposium|ADCS,Australasian B
Australasian Joint Conference on Artificial Intelligence|AI,Australasian B
Digital Image Computing Techniques and Applications|DICTA,Australasian C
Australian Data Mining Conference|AusDM,Australasian C
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing|ACCMCC,Australasian C
Australasian Conference on Robotics and Automation|ACRA,Australasian C
Australian Institute of Computer Ethics Conference|AICE,Australasian C
Australasian Information Security Conference|AISC,Australasian C
Australasian Language Technology Workshop|ALTA,Australasian C
Asia-Pacific Conference on Conceptual Modelling|APCCM,Australasian C
National Conference of The Australian Society for Operations Research|ASOR,Australasian C
Australasian Symposium on Parallel and Distributed Computing (was AusGrid)|AusPDC,Australasian C
Health Informatics Conference|HIC,Australasian C
International Conference on Information Technology and Applications|ICITA,Australasian C
Interactive Entertainment|IE,Australasian C
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference)|ITNAC,Australasian C
Image and Vision Computing Conference|IVCNZ,Australasian C
International Congress on Modelling and Simulation|MODSIM,Australasian C
New Zealand Game Developers Conference|NZGDC,Australasian C
Simulation Technology and Training Conference|SimTecT,Australasian C
Australasian Speech Science and Technology|SST,Australasian C
IEEE International Conference on Mobile Ad-hoc and Sensor Systems|MASS,B
International Conference on Modelling Decisions for Artificial Intelligence|MDAI,B
International Conference on Mobile Data Management|MDM,B
International Conference on Mathematical Foundations of Programming Semantics|MFPS,B
International Conference on Multimedia Modelling|MMM,B
International Conference on Human-Computer Interaction with Mobile Devices and Services|MobileHCI,B
Mathematics of Program Construction|MPC,B
Mobile and Ubiquitous Multimedia (ACM)|MUM,B
IEEE International Symposium on Network Computing and Applications|NCA,B
International Conference on Network Softwarization|NetSoft,B
IFIP International Conference on Networking|Networking,B
IEEE Network Operations and Management Symposium|NOMS,B
Network and Operating System Support for Digital Audio and Video|NOSSDAV,B
International Conference on network and System Security|NSS,B
International Conference on Principles of Distributed Systems|OPODIS,B
International Conference on Parallel Architecture and Compilation Techniques|PACT,B
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation)|PADS,B
Pacific-Asia Conference on Knowledge Discovery and Data Mining|PAKDD,B
Passive and Active Measurement Conference|PAM,B
International Conference on the Application and Theory of Petri Nets and Concurrency|Petri Nets,B
IEEE International Symposium on Personal and Indoor Mobile Radio Conference|PIMRC,B
International Conference on Practice and Theory in Public Key Cryptography|PKC,B
Principles and Practice of Parallel Programming|PPoPP,B
Pacific Rim International Conference on Artificial Intelligence|PRICAI,B
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents)|PRIMA,B
Product Focused Software Process Improvement|PROFES,B
International Conference on Quality of Multimedia Experience|QoMEX,B
International Conference on Research Challenges in Information Science|RCIS,B
International Conference on Computational Molecular Biology|RECOMB,B
International Workshop on Requirements Engineering: Foundation for Software Quality|REFSQ,B
International Conference on Embedded and Real Time Computing Systems and Applications|RTCSA,B
International Joint Conference on Rules and Reasoning|RuleML+RR,B
International Conference on Runtime Verification (was workshop pre 2010)|RV,B
Selected Areas in Cryptography|SAC,B
"International Conference on Computer Safety, Reliability and Security|SAFECOMP",B
International Symposium on Algorithmic Game Theory|SAGT,B
Static Analysis Symposium|SAS,B
International Symposium on Experimental Algorithms|SEA,B
Euromicro Conference on Software Engineering and Advanced Applications|SEAA,B
"IEEE International Conference on Sensing, Communication and Networking|SECON",B
International Conference on Software Engineering and Formal Methods|SEFM,B
IEEE Congress on Services|SERVICES,B
Symposium on Geometry Processing|SGP,B
Annual Meeting of the Special Interest Group on Discourse and Dialog|SIGdial,B
International Colloquium on Structural Information and Communication Complexity|SIROCCO,B
International Conference on Similarity Search and Applications|SISAP,B
International Conference on Software Language Engineering|SLE,B
"IEEE Conference on Systems, Man and Cybernetics|SMC",B
Current Trends in Theory and Practice of Computer Science|SOFSEM,B
Symposium on Parallelism in Algorithms and Architectures|SPAA,B
Software Product Lines Conference|SPLC,B
Symposium on Reliable Distributed Systems|SRDS,B
International Symposium on Search Based Software Engineering|SSBSE,B
International Conference on Scientific and Statistical Data Base Management|SSDBM,B
Structural and Syntactical Pattern Recognition|SSPR,B
International Symposium on Spatial and Temporal Databases|SSTD,B
International Conference on Theorem Proving with Analytic Tableaux and Related Methods|TABLEAUX,B
International Conference on Technical Debt|TechDebt,B
"Tangible, Embedded, and Embodied Interaction|TEI",B
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010)|TPDL,B
"International Conference on Trust, Privacy and Security in Digital Business|TrustBus",B
"International Conference on Trust, Security and Privacy in Computing and Communications|TrustCom",B
International Conference on Virtual Execution Environments|VEE,B
IEEE International Working Conference on Software Visualisation|VISSOFT,B
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL)|VL/HCC,B
"Verification, Model Checking and Abstract Interpretation|VMCAI",B
